title,topics,difficulty,word1,definition1,word2,definition2,word3,definition3,word4,definition4,word5,definition5,word6,definition6,word7,definition7,word8,definition8,word9,definition9,word10,definition10,word11,definition11,word12,definition12
Los materiales,Objetos,b1,madera,wood,metal,metal,vidrio,glass,plástico,plastic,piedra,stone,algodón,cotton,lana,wool,seda,silk,arcilla,clay,,,,,,
Los sentimientos y emociones,Emociones,a1,feliz,happy,triste,sad,enfadado,angry,sorprendido,surprised,miedo,scared,cansado,tired,aburrido,bored,emocionado,excited,,,,,,,,
Los verbos comunes,Verbos,a1,hablar,to speak,comer,to eat,beber,to drink,dormir,to sleep,caminar,to walk,correr,to run,leer,to read,escribir,to write,escuchar,to listen,mirar,to look,,,,
Los adjetivos comunes,Adjetivos,a1,grande,big,pequeño,small,alto,tall,bajo,short,rápido,fast,lento,slow,bueno,good,malo,bad,bonito,pretty,feo,ugly,,,,
Los adverbios comunes,Adverbios,a1,rápidamente,quickly,lentamente,slowly,bien,well,mal,badly,aquí,here,allí,there,ayer,yesterday,hoy,today,mañana,tomorrow,,,,,,
Las preposiciones,Gramática,a1,en,in,sobre,on,bajo,under,delante de,in front of,detrás de,behind,cerca de,near,lejos de,far from,a,to,con,with,,,,,,
Los pronombres,Gramática,a1,yo,I,tú,you,él,he,ella,she,nosotros,we,vosotros,you (plural),ellos,they,,,,,,,,,,
Los números ordinales,Números,a2,primero,first,segundo,second,tercero,third,cuarto,fourth,quinto,fifth,sexto,sixth,séptimo,seventh,octavo,eighth,noveno,ninth,décimo,tenth,,,,
Las tiendas y compras,Compras,a1,supermercado,supermarket,farmacia,pharmacy,tienda de ropa,clothes shop,zapatería,shoe store,librería,bookstore,panadería,bakery,carnicería,butcher shop,,,,,,,,,,
Los lugares de la ciudad,La ciudad,a2,calle,street,plaza,square,iglesia,church,hospital,hospital,escuela,school,parque,park,restaurante,restaurant,cine,cinema 4,,,,,,,,
Los animales domésticos,Animales,a1,perro,dog,gato,cat,pájaro,bird,hámster,hamster,pez,fish,tortuga,turtle,conejo,rabbit,,,,,,,,,,
Las bebidas (más),Bebidas,a1,jugo,juice,soda,soda,café,coffee,té,tea,leche,milk,cerveza,beer,vino,wine,,,,,,,,,,
Los postres,Postres,a1,pastel,cake,helado,ice cream,galletas,cookies,chocolate,chocolate,flan,flan,manzana,apple,fruta,fruit,,,,,,,,,,
Los deportes acuáticos,Deportes,b2,natación,swimming,surfing,surfing,vela,sailing,windsurf,windsurfing,esquí acuático,water skiing,buceo,diving,piragüismo,canoeing,kayak,kayaking,,,,,,,,
Los deportes de invierno,Deportes,b2,esquí,skiing,esquí nórdico,cross-country skiing,snowboard,snowboarding,patinaje sobre hielo,ice skating,hockey sobre hielo,ice hockey,trineo,sledding,,,,,,,,,,,,
Los instrumentos de cuerda,Música,b1,guitarra,guitar,violín,violin,cello,cello,arpa,harp,banjo,banjo,laúd,lute,,,,,,,,,,,,
Los instrumentos de viento,Música,b1,flauta,flute,clarinete,clarinet,trompeta,trumpet,saxofón,saxophone,oboe,oboe,fagot,bassoon,,,,,,,,,,,,
Los adverbios de tiempo,Adverbios,a2,ahora,now,luego,then,antes,before,después,after,siempre,always,nunca,never,a veces,sometimes,,,,,,,,,,
Los adverbios de lugar,Adverbios,a2,arriba,up,abajo,down,cerca,near,lejos,far,aquí,here,allí,there,,,,,,,,,,,,
Las conjunciones,Gramática,a1,y,and,o,or,pero,but,sino,but,porque,because,,,,,,,,,,,,,,
Las interjecciones,Exclamaciones,b1,¡Hola!,Hello!,¡Adiós!,Goodbye!,¡Gracias!,Thank you!,¡Por favor!,Please!,¡Sí!,Yes!,¡No!,No!,¡Ay!,Oh!,¡Uf!,Ugh!,¡Guay!,Cool!,,,,,,
Los gentilicios,Nacionalidades,b1,español,Spanish,francés,French,inglés,English,alemán,German,italiano,Italian,chino,Chinese,japonés,Japanese,americano,American,,,,,,,,
Los diminutivos,Morfología,b2,casita,small house,perrito,small dog,gatito,small cat,arbolito,small tree,florcita,small flower,,,,,,,,,,,,,,
Los aumentativos,Morfología,b2,casota,big house,perrazo,big dog,gatazo,big cat,arbolote,big tree,florzota,big flower,,,,,,,,,,,,,,
Los sinónimos,Vocabulario,c1,feliz,"happy, joyful",alegre,"happy, cheerful",contento,"happy, content",triste,"sad, sorrowful",pena,"sorrow, grief",alegría,"happiness, joy",felicidad,happiness,gozoso,joyful,,,,,,,,
Los antónimos,Vocabulario,a2,grande,big,pequeño,small,alto,tall,bajo,short,bueno,good,malo,bad,rápido,fast,lento,slow,,,,,,,,
Los homónimos,Vocabulario,c1,hola,hello,ola,wave,hay,there is,ay,ouch,echo,I do,hecho,done,,,,,,,,,,,,
Los números cardinales,Números,a1,cero,zero,uno,one,dos,two,tres,three,cuatro,four,cinco,five,seis,six,siete,seven,ocho,eight,nueve,nine,diez,ten,,
Las figuras geométricas,Formas,a1,cuadrado,square,círculo,circle,triángulo,triangle,rectángulo,rectangle,óvalo,oval,rombo,rhombus,,,,,,,,,,,,
Los estados del tiempo,El tiempo,a2,soleado,sunny,lluvioso,rainy,nublado,cloudy,ventoso,windy,nevando,snowing,caluroso,hot,frío,cold,,,,,,,,,,
Las profesiones (femenino),Profesiones,b1,doctora,doctor (female),enfermera,nurse (female),piloto,pilot (female),profesora,teacher (female),bombera,firefighter (female),policía mujer,policewoman,abogada,lawyer (female),cocinera,cook (female),cantante,singer (female),artista,artist (female),,,,
Los animales marinos (más),El océano,b2,cangrejo,crab,langosta,lobster,gamba,shrimp,almeja,clam,caracol,sea snail,salmón,salmon,atún,tuna,,,,,,,,,,
Los adverbios de modo,Adverbios,a2,bien,well,mal,badly,rápidamente,quickly,lentamente,slowly,fácilmente,easily,difícilmente,hardly,,,,,,,,,,,,
Los verbos de movimiento,Verbos,a2,caminar,to walk,correr,to run,saltar,to jump,nadar,to swim,trepar,to climb,gatear,to crawl,volar,to fly,,,,,,,,,,
Los verbos de pensamiento,Verbos,b1,pensar,to think,creer,to believe,imaginar,to imagine,recordar,to remember,olvidar,to forget,,,,,,,,,,,,,,
Los verbos de sentimiento,Verbos,b1,amar,to love,temer,to fear,odiar,to hate,admirar,to admire,preocuparse,to worry,,,,,,,,,,,,,,
Los verbos de comunicación,Verbos,b1,decir,to say,preguntar,to ask,responder,to answer,hablar,to speak,gritar,to shout,susurrar,to whisper,,,,,,,,,,,,
Los verbos de percepción,Verbos,a2,ver,to see,oír,to hear,oler,to smell,gustar,to taste,tocar,to touch,,,,,,,,,,,,,,
Los adverbios de cantidad,Adverbios,a2,mucho,much,poco,little,bastante,enough,demasiado,too much,muy,very,tan,so,,,,,,,,,,,,
Los demostrativos,Gramática,a1,este,this,ese,that,aquel,that over there,estos,these,esos,those,aquellos,those over there,,,,,,,,,,,,
Los posesivos,Gramática,a1,mi,my,tu,your,su,his/her/your,nuestro,our,vuestro,yours,suyo,their/your (formal),,,,,,,,,,,,
Los artículos,Gramática,a1,el,the (masculine singular),la,the (feminine singular),los,the (masculine plural),las,the (feminine plural),un,a (masculine singular),una,a (feminine singular),unos,some (masculine plural),unas,some (feminine plural),,,,,,,,
Las profesiones (plural),Profesiones,b1,doctores,doctors,enfermeras,nurses,profesores,teachers,bomberos,firefighters,policías,policemen,abogados,lawyers,cocineros,cooks,,,,,,,,,,
Los animales de la selva (más),Animales,c1,chimpancé,chimpanzee,hipopótamo,hippopotamus,rinoceronte,rhinoceros,leopardo,leopard,pantera,panther,gorila,gorilla,,,,,,,,,,,,
Los fenómenos naturales,La naturaleza,c1,terremoto,earthquake,tsunami,tsunami,huracán,hurricane,inundación,flood,sequía,drought,tormenta,thunderstorm,,,,,,,,,,,,
Los planetas enanos,El espacio,c1,Ceres,Ceres,Plutón,Pluto,Haumea,Haumea,Makemake,Makemake,Eris,Eris,,,,,,,,,,,,,,
Los satélites naturales,El espacio,c1,Luna,Moon,Titán,Titan,Ío,Io,Europa,Europa,Ganímedes,Ganymede,Calisto,Callisto,,,,,,,,,,,,
Las constelaciones,El espacio,c1,Osa Mayor,Big Dipper,Osa Menor,Little Dipper,Orión,Orion,Casiopea,Cassiopeia,,,,,,,,,,,,,,,,
Los signos del zodiaco,Astrología,b2,Aries,Aries,Tauro,Taurus,Géminis,Gemini,Cáncer,Cancer,Leo,Leo,Virgo,Virgo,Libra,Libra,Escorpio,Scorpio,Sagitario,Sagittarius,Capricornio,Capricorn,Acuario,Aquarius,Piscis,Pisces
Los continentes,Geografía,a2,América del Norte,North America,América del Sur,South America,Europa,Europe,Asia,Asia,África,Africa,Oceanía,Oceania,Antártida,Antarctica,,,,,,,,,,
Los océanos del mundo,Geografía,b1,Océano Atlántico,Atlantic Ocean,Océano Pacífico,Pacific Ocean,Océano Índico,Indian Ocean,Océano Ártico,Arctic Ocean,Océano Antártico,Southern Ocean 5,,,,,,,,,,,,,,
Los puntos cardinales,Geografía,a1,Norte,North,Sur,South,Este,East,Oeste,West,,,,,,,,,,,,,,,,
Los números del 1 al 20,Números,a1,uno,one,dos,two,tres,three,cuatro,four,cinco,five,seis,six,siete,seven,ocho,eight,nueve,nine 6,diez,ten 7,once,eleven,doce,twelve
Los números del 20 al 100 (decenas),Números,a2,veinte,twenty,treinta,thirty,cuarenta,forty,cincuenta,fifty,sesenta,sixty,setenta,seventy,ochenta,eighty,noventa,ninety,cien,one hundred,,,,,,
Los sentidos del cuerpo humano,El cuerpo,a1,vista,sight,oído,hearing,olfato,smell,gusto,taste,tacto,touch 9,,,,,,,,,,,,,,
Los estados civiles,Persona,a2,soltero,single,casado,married,divorciado,divorced,viudo,widowed,,,,,,,,,,,,,,,,
Los grados de parentesco,Familia,b1,hijo,son/daughter,padres,parents,abuelos,grandparents,nietos,grandchildren,hermanos,siblings,primos,cousins,,,,,,,,,,,,
Las profesiones relacionadas con la salud,Profesiones,c1,cirujano,surgeon,anestesista,anaesthetist,radiólogo,radiologist,farmacéutico,pharmacist,dentista,dentist,psicólogo,psychologist,,,,,,,,,,,,
Los deportes de equipo,Deportes,a2,fútbol,soccer,baloncesto,basketball,voleibol,volleyball,rugby,rugby,béisbol,baseball,hockey,hockey,,,,,,,,,,,,
Los deportes individuales,Deportes,a2,tenis,tennis,natación,swimming,atletismo,athletics,golf,golf,ciclismo,cycling,boxeo,boxing,,,,,,,,,,,,
Los verbos terminados en -ar,Verbos,a1,hablar,to speak,cantar,to sing,bailar,to dance,amar,to love,estudiar,to study,trabajar,to work,viajar,to travel,,,,,,,,,,
Los verbos terminados en -er,Verbos,a1,comer,to eat,beber,to drink,leer,to read,creer,to believe,vender,to sell,comprender,to understand,,,,,,,,,,,,
Los verbos terminados en -ir,Verbos,a1,vivir,to live,escribir,to write,abrir,to open,recibir,to receive,asistir,to attend,,,,,,,,,,,,,,
Los adverbios terminados en -mente,Adverbios,b1,rápidamente,quickly,lentamente,slowly,fácilmente,easily,difícilmente,hardly,,,,,,,,,,,,,,,,
Las onomatopeyas,Sonidos,b2,miau,meow,guau,woof,pío,cheep,muu,moo,,,,,,,,,,,,,,,,
Los gentilicios de ciudades,Nacionalidades,b2,madrileño,from Madrid,parisino,from Paris,londinense,from London,berlinés,from Berlin,romano,from Rome,,,,,,,,,,,,,,
Los gentilicios de comunidades autónomas,Nacionalidades,c1,andaluz,from Andalusia,catalán,from Catalonia,valenciano,from Valencia,gallego,from Galicia,vasco,from Basque Country,,,,,,,,,,,,,,
Los gentilicios de países (femenino),Nacionalidades,b1,española,Spanish (female),francesa,French (female),inglesa,English (female),alemana,German (female),italiana,Italian (female),,,,,,,,,,,,,,
Los gentilicios de países (plural),Nacionalidades,b1,españoles,Spanish (plural),franceses,French (plural),ingleses,English (plural),alemanes,German (plural),italianos,Italian (plural),,,,,,,,,,,,,,
Los gentilicios de continentes,Nacionalidades,b1,americano,American,europeo,European,asiático,Asian,africano,African,,,,,,,,,,,,,,,,
Los gentilicios de océanos,Nacionalidades,b2,atlántico,Atlantic,pacífico,Pacific,índico,Indian,ártico,Arctic,antártico,Antarctic,,,,,,,,,,,,,,
Los gentilicios de puntos cardinales,Nacionalidades,b2,norteño,Northern,sureño,Southern,oriental,Eastern,occidental,Western,,,,,,,,,,,,,,,,
Las operaciones matemáticas,Matemáticas,a1,sumar,to add,restar,to subtract,multiplicar,to multiply,dividir,to divide,igual,equals,más,plus,menos,minus,por,times,entre,divided by,,,,,,
Los signos de puntuación,Gramática,a1,punto,period,coma,comma,interrogación,question mark,exclamación,exclamation mark,dos puntos,colon,punto y coma,semicolon,,,,,,,,,,,,
Los adverbios interrogativos,Adverbios,b1,cómo,how,cuándo,when,dónde,where,por qué,why,qué,what,cuál,which,,,,,,,,,,,,
Los pronombres interrogativos,Pronombres,b1,quién,who,qué,what,cuál,which,cuántos,how many,,,,,,,,,,,,,,,,
Los determinantes interrogativos,Determinantes,b1,qué,what,cuál,which,cuántos,how many,,,,,,,,,,,,,,,,,,
Los conectores del discurso,Lenguaje,b2,además,furthermore,por lo tanto,therefore,en cambio,however,,,,,,,,,,,,,,,,,,
Los verbos reflexivos,Verbos,b1,levantarse,to get up,ducharse,to shower,vestirse,to get dressed,peinarse,to comb one's hair,,,,,,,,,,,,,,,,
Los verbos impersonales,Verbos,b2,llover,to rain,nevar,to snow,hacer calor,to be hot,hacer frío,to be cold,,,,,,,,,,,,,,,,
Los falsos cognados,Lenguaje,c1,actual,current,embarazada,embarrassed,librería,bookstore,carpeta,folder,,,,,,,,,,,,,,,,
Acciones cotidianas,Verbos 2,a1,desayunar,to have breakfast,comer,to eat,cenar,to have dinner,trabajar,to work,estudiar,to study,limpiar,to clean,cocinar,to cook,dormir,to sleep,,,,,,,,
En el restaurante,Comida,a1,camarero,waiter,mesa,table,menú,menu,cuenta,bill,agua,water,pan,bread,vino,wine,postre,dessert,café,coffee,,,,,,
En el supermercado,Compras,a1,carro,cart,leche,milk,pan,bread,huevos,eggs,fruta,fruit,verdura,vegetable,carne,meat,pescado,fish,caja,checkout,,,,,,
La ropa (más),Ropa,a1,falda,skirt,pantalón,trousers,camisa,shirt,zapatos,shoes,calcetines,socks,chaqueta,jacket,abrigo,coat,gorro,beanie,guantes,gloves,,,,,,
Los miembros de la familia,Familia,a1,hijo,son/daughter,hija,daughter,hermano,brother,hermana,sister,padres,parents,abuelos,grandparents,nieto,grandson,nieta,granddaughter,tío,uncle,tía,aunt,,,,
Los animales de la selva,Animales,a2,mono,monkey,león,lion,tigre,tiger,elefante,elephant,jirafa,giraffe,cebra,zebra,serpiente,snake,cocodrilo,crocodile,,,,,,,,
Los deportes de pelota,Deportes,a2,fútbol,soccer,baloncesto,basketball,tenis,tennis,voleibol,volleyball,rugby,rugby,béisbol,baseball,,,,,,,,,,,,
Los instrumentos de percusión,Música,b1,batería,drums,tambor,drum,xilófono,xylophone,platillos,cymbals,,,,,,,,,,,,,,,,
Las profesiones (más),Profesiones,a2,profesor,teacher,estudiante,student,médico,doctor,enfermera,nurse,policía,police officer,bombero,firefighter,carpintero,carpenter,pintor,painter,,,,,,,,
Los adjetivos (más),Adjetivos,a1,feliz,happy,triste,sad,grande,big,pequeño,small,alto,tall,bajo,short,rápido,fast,lento,slow,,,,,,,,
Los adverbios (más),Adverbios,a1,bien,well,mal,badly,rápido,quickly,lento,slowly,aquí,here,allí,there,ahora,now,luego,later,,,,,,,,
Las conjunciones (más),Gramática,a2,y,and,o,or,pero,but,porque,because,aunque,although,si,if,,,,,,,,,,,,
Los números ordinales (más),Números,a2,sexto,sixth,séptimo,seventh,octavo,eighth,noveno,ninth,décimo,tenth,undécimo,eleventh,duodécimo,twelfth,,,,,,,,,,
Las tiendas (más),Compras,a2,panadería,bakery,carnicería,butcher shop,pescadería,fish shop,frutería,fruit shop,quiosco,kiosk,zapatería,shoe store,,,,,,,,,,,,
Los lugares de la ciudad (más),La ciudad,a2,teatro,theater,museo,museum,biblioteca,library,oficina,office,correos,post office,farmacia,pharmacy,,,,,,,,,,,,
Los animales domésticos (más),Animales,a1,canario,canary,tortuga,turtle,hámster,hamster,cobaya,guinea pig,,,,,,,,,,,,,,,,
Las bebidas (frías),Bebidas,a1,zumo,juice,limonada,lemonade,refresco,soft drink,granizado,slushie,,,,,,,,,,,,,,,,
Los postres (más),Postres,a1,helado,ice cream,tarta,cake,galletas,cookies,flan,custard,,,,,,,,,,,,,,,,
Los deportes de aventura,Deportes,b2,escalada,climbing,senderismo,hiking,paracaidismo,skydiving,rafting,rafting,,,,,,,,,,,,,,,,
Los instrumentos electrónicos,Música,b2,teclado,keyboard,sintetizador,synthesizer,caja de ritmos,drum machine,sampler,sampler,,,,,,,,,,,,,,,,
Los verbos de movimiento (más),Verbos,a2,llegar,to arrive,salir,to leave,subir,to go up,bajar,to go down,entrar,to enter,volver,to return,,,,,,,,,,,,
Los verbos de estado (más),Verbos,a2,parecer,to seem,sentirse,to feel,quedar,to stay,encontrar,to find,,,,,,,,,,,,,,,,
Los verbos de pensamiento (más),Verbos,b1,saber,to know,recordar,to remember,olvidar,to forget,aprender,to learn,,,,,,,,,,,,,,,,
Los verbos de sentimiento (más),Verbos,b1,gustar,to like,encantar,to love,odiar,to hate,sorprender,to surprise,,,,,,,,,,,,,,,,
Los verbos de comunicación (más),Verbos,b1,escribir,to write,leer,to read,preguntar,to ask,contestar,to answer,,,,,,,,,,,,,,,,
Los verbos de percepción (más),Verbos,a2,mirar,to look,escuchar,to listen,oler,to smell,tocar,to touch,,,,,,,,,,,,,,,,
Los demostrativos (más),Gramática,a2,este,this (masculine),esta,this (feminine),estos,these (masculine),estas,these (feminine),ese,that (masculine),esa,that (feminine),esos,those (masculine),esas,those (feminine),aquel,that over there (masculine),aquella,that over there (feminine),aquellos,those over there (masculine),aquellas,those over there (feminine)
Los artículos (más),Gramática,a1,un,a (masculine singular),una,a (feminine singular),unos,some (masculine plural),unas,some (feminine plural),el,the (masculine singular),la,the (feminine singular),los,the (masculine plural),las,the (feminine plural),,,,,,,,
Los colores (intermedio),Colores,b1,violeta,violet,celeste,sky blue,granate,garnet,beige,beige,turquesa,turquoise,marrón,brown,gris,grey,negro,black,blanco,white,dorado,golden,plateado,silver,,
Las formas (intermedio),Formas,b1,cilindro,cylinder,cono,cone,esfera,sphere,cubo,cube,pirámide,pyramid,óvalo,oval,rombo,rhombus,pentágono,pentagon,hexágono,hexagon,,,,,,
Los materiales (más),Objetos,a2,papel,paper,cartón,cardboard,tela,fabric,cuero,leather,metal,metal,plástico,plastic,madera,wood,vidrio,glass,,,,,,,,

Los sentimientos (más),Emociones,a2,sorpresa,surprise,miedo,fear,alegría,joy,tristeza,sadness,enfado,anger,calma,calm,nervios,nerves,vergüenza,shame,,,,,,,,
Los verbos (irregulares),Verbos,b2,andar,to walk,caber,to fit,dar,to give,estar,to be,haber,to have (auxiliary),ir,to go,oír,to hear,poder,to be able to,poner,to put,querer,to want,saber,to know,salir,to leave
Los adverbios (manera),Adverbios,a2,despacio,slowly,deprisa,quickly,fácilmente,easily,difícilmente,hardly,amablemente,kindly,seriamente,seriously,,,,,,,,,,,,
Los adverbios (tiempo),Adverbios,a2,pronto,soon,tarde,late,ahora,now,luego,later,siempre,always,nunca,never,a menudo,often,a veces,sometimes,,,,,,,,
Los adverbios (lugar),Adverbios,a2,cerca,near,lejos,far,aquí,here,allí,there,arriba,up,abajo,down,dentro,inside,fuera,outside,,,,,,,,
Las preposiciones (más),Gramática,a2,entre,between,sin,without,sobre,"on, over",bajo,under,hacia,towards,desde,from,hasta,until,durante,during,,,,,,,,
Los pronombres (más),Gramática,a2,mí,me,ti,you,usted,you (formal),nos,us,os,"you (plural, informal)",les,them (formal),,,,,,,,,,,,
Los números ordinales (avanzado),Números,c1,vigésimo,twentieth,trigésimo,thirtieth,cuadragésimo,fortieth,quincuagésimo,fiftieth,sexagésimo,sixtieth,septuagésimo,seventieth,octogésimo,eightieth,nonagésimo,ninetieth,centésimo,hundredth,,,,,,
Las tiendas especializadas,Compras,b1,librería,bookstore,farmacia,pharmacy,ferretería,hardware store,floristería,flower shop,joyería,jewelry store,zapatería,shoe store 4  5,,,,,,,,,,,,
Los lugares de la ciudad (más difíciles),La ciudad,b2,ayuntamiento,town hall,comisaría,police station,juzgado,courthouse,embajada,embassy,consulado,consulate,,,,,,,,,,,,,,
Los animales exóticos,Animales,b2,camello,camel,koala,koala,panda,panda,guepardo,cheetah,rinoceronte,rhinoceros,hipopótamo,hippopotamus,,,,,,,,,,,,
Las bebidas (calientes),Bebidas,a1,café,coffee,té,tea,chocolate caliente,hot chocolate,infusión,herbal tea,,,,,,,,,,,,,,,,
Los postres (elaborados),Postres,b1,tarta de manzana,apple pie,tiramisú,tiramisu,brownie,brownie,cheesecake,cheesecake,,,,,,,,,,,,,,,,
Los deportes extremos,Deportes,c1,puenting,bungee jumping,ala delta,hang gliding,parkour,parkour,barranquismo,canyoning,,,,,,,,,,,,,,,,
Los instrumentos de viento metal,Música,b1,trompeta,trumpet,trombón,trombone,trompa,French horn,tuba,tuba,,,,,,,,,,,,,,,,
Los verbos de movimiento (avanzado),Verbos,c1,trasladarse,to move,desplazarse,to move around,transitar,to transit,deambular,to wander,,,,,,,,,,,,,,,,
Los verbos de estado (avanzado),Verbos,c1,permanecer,to remain,consistir,to consist,radicar,to reside,yacer,to lie (down),,,,,,,,,,,,,,,,
Los verbos de pensamiento (avanzado),Verbos,c1,reflexionar,to reflect,analizar,to analyze,contemplar,to contemplate,deducir,to deduce,,,,,,,,,,,,,,,,
Los verbos de sentimiento (avanzado),Verbos,c1,añorar,to miss (nostalgically),apasionar,to impassion,detestar,to detest,enternecer,to melt (with tenderness),,,,,,,,,,,,,,,,
Los verbos de comunicación (avanzado),Verbos,c1,argumentar,to argue,debatir,to debate,negociar,to negotiate,persuadir,to persuade,,,,,,,,,,,,,,,,
Los verbos de percepción (avanzado),Verbos,c1,discernir,to discern,contemplar,to contemplate,presenciar,to witness,atisbar,to glimpse,,,,,,,,,,,,,,,,
Los adverbios de cantidad (avanzado),Adverbios,c1,extremadamente,extremely,considerablemente,considerably,notablemente,notably,apenas,barely,,,,,,,,,,,,,,,,
Los demostrativos (neutro),Gramática,b2,esto,this (neuter),eso,that (neuter),aquello,that over there (neuter),,,,,,,,,,,,,,,,,,
Los posesivos (neutro),Gramática,b2,lo mío,mine (neuter),lo tuyo,yours (neuter),lo suyo,his/hers/yours/theirs (neuter),,,,,,,,,,,,,,,,,,
Los artículos (neutro),Gramática,b2,lo,the (neuter),,,,,,,,,,,,,,,,,,,,,,
Los colores (avanzado),Colores,c1,carmesí,crimson,escarlata,scarlet,añil,indigo,ocre,ochre,fucsia,fuchsia,magenta,magenta,turquesa oscuro,teal,,,,,,,,,,
Las formas (avanzado),Formas,c1,dodecaedro,dodecahedron,icosaedro,icosahedron,trapezoide,trapezoid,paralelogramo,parallelogram,,,,,,,,,,,,,,,,
Los materiales (avanzado),Objetos,c1,terciopelo,velvet,lino,linen,seda,silk,cuero sintético,synthetic leather,,,,,,,,,,,,,,,,
Los sentimientos (negativos),Emociones,a2,tristeza,sadness,enfado,anger,frustración,frustration,decepción,disappointment,,,,,,,,,,,,,,,,
Los verbos (causativos),Verbos,c1,hacer,to make,dejar,to let,permitir,to allow,obligar,to oblige,,,,,,,,,,,,,,,,
Los adverbios (intensidad),Adverbios,b2,muy,very,bastante,quite,demasiado,too,poco,a little,extremadamente,extremely,terriblemente,terribly,,,,,,,,,,,,
Los adverbios (duda),Adverbios,b2,quizá,maybe,quizás,perhaps,probablemente,Los adverbios (afirmación),Adverbios,a2,sí,yes,también,also,ciertamente,certainly,efectivamente,effectively,,,,,,,,
Los adverbios (negación),Adverbios,a2,no,no,tampoco,neither,nunca,never,jamás,never (stronger),,,,,,,,,,,,,,,,
Las preposiciones (tiempo),Gramática,b1,antes de,before,después de,after,durante,during,mientras,while,hasta,until,desde,since,,,,,,,,,,,,
Las preposiciones (lugar),Gramática,b1,delante de,in front of,detrás de,behind,encima de,on top of,debajo de,under,cerca de,near,lejos de,far from,al lado de,next to,entre,between,,,,,,,,
Las preposiciones (modo),Gramática,b2,según,according to,como,like,sin,without,con,with,,,,,,,,,,,,,,,,
Las interjecciones (más),Gramática,a1,¡Hola!,Hello!,¡Adiós!,Goodbye!,¡Gracias!,Thank you!,¡Por favor!,Please!,¡De nada!,You're welcome!,¡Perdón!,Excuse me!,¡Socorro!,Help!,¡Oiga!,Hey!,¡Cuidado!,Be careful!,,,,,,
Las abreviaturas (comunes),Vocabulario,b1,Ud.,you (formal),Uds.,you (formal plural),D./Dña.,Mr./Ms.,etc.,etc.,p. ej.,for example,s. f.,feminine singular noun,s. m.,masculine singular noun,,,,,,,,,,
Los gentilicios (España),Geografía,a2,andaluz,Andalusian,catalán,Catalan,gallego,Galician,vasco,Basque,valenciano,Valencian,canario,Canarian,,,,,,,,,,,,
